id,name,city,municipality,postal_code
cipreses-de-zavaleta-921,CIPRESES DE ZAVALETA,Puebla,Puebla,
ciudad-galaxia-la-calera-1051,CIUDAD GALAXIA LA CALERA,Puebla,Puebla,
ciudad-satelite-1ra-seccion-928,CIUDAD SATELITE 1RA SECCION,Puebla,Puebla,
ciudad-satelite-de-puebla-(2da-seccion)-1155,CIUDAD SATELITE DE PUEBLA  (2DA SECCION),Puebla,Puebla,
ciudad-universitaria-144,CIUDAD UNIVERSITARIA,Puebla,Puebla,
clarenza-1739,CLARENZA,Puebla,Puebla,
clotilde-torres-154,CLOTILDE TORRES,Puebla,Puebla,
club-de-golf-1272,CLUB DE GOLF,Puebla,Puebla,
club-de-golf-las-fuentes-1a-seccion-22,CLUB DE GOLF LAS FUENTES 1a SECCION,Puebla,Puebla,
club-de-golf-las-fuentes-2a-seccion-21,CLUB DE GOLF LAS FUENTES 2a SECCION,Puebla,Puebla,
cluster-10-10-10-994,CLUSTER 10-10-10,Puebla,Puebla,
cluster-10-10-a-(-grand-cypress-)-1065,CLUSTER 10-10 A  ( GRAND CYPRESS ),Puebla,Puebla,
cluster-10-10-b-1068,CLUSTER 10-10-B,Puebla,Puebla,
cluster-11-11-11-541,CLUSTER 11-11-11,Puebla,Puebla,
cluster-12-12-12-(-ambientes-doce-12-)-1030,CLUSTER 12 12 12 ( AMBIENTES DOCE 12 ),Puebla,Puebla,
cluster-222-911,CLUSTER 222,Puebla,Puebla,
cluster-2-2-2-a-1066,CLUSTER 2-2-2-A,Puebla,Puebla,
cluster-333-907,CLUSTER 333,Puebla,Puebla,
cluster-444-909,CLUSTER 444,Puebla,Puebla,
cluster-555-908,CLUSTER 555,Puebla,Puebla,
cluster-777-913,CLUSTER 777,Puebla,Puebla,
cluster-888-910,CLUSTER 888,Puebla,Puebla,
cluster-999-912,CLUSTER 999,Puebla,Puebla,
cluster-del-angel-1314,CLUSTER DEL ANGEL,Puebla,Puebla,
colinas-del-bosque-625,COLINAS DEL BOSQUE,Puebla,Puebla,
colonial-san-jeronimo-213,COLONIAL SAN JERONIMO,Puebla,Puebla,
colonias-unidas-472,COLONIAS UNIDAS,Puebla,Puebla,
col-vicente-guerrero-606,COL VICENTE GUERRERO,Puebla,Puebla,
concepcion-guadalupe-1470,CONCEPCION GUADALUPE,Puebla,Puebla,
concepcion-la-cruz-1452,CONCEPCION LA CRUZ,Puebla,Puebla,
concepcion-la-cruz-1357,CONCEPCION LA CRUZ,Puebla,Puebla,
concepcion-las-lajas-1441,CONCEPCION LAS LAJAS,Puebla,Puebla,
conjunto-caba├▒as-valsequillo-1587,CONJUNTO CABA├æAS VALSEQUILLO,Puebla,Puebla,
conjunto-pavorreales-829,CONJUNTO PAVORREALES,Puebla,Puebla,
conjunto-real-680,CONJUNTO REAL,Puebla,Puebla,
constitucion-mexicana-452,CONSTITUCION MEXICANA,Puebla,Puebla,
cool-guest-549,COOL GUEST,Puebla,Puebla,
coronel-miguel-auza---jardines-de-san-manuel-94,CORONEL MIGUEL AUZA - JARDINES DE SAN MANUEL,Puebla,Puebla,
corredor-industrial-la-cienega-288,CORREDOR INDUSTRIAL LA CIENEGA,Puebla,Puebla,
cortijo-angelopolis-1461,CORTIJO ANGELOPOLIS,Puebla,Puebla,
cortijo-santa-rosa-1433,CORTIJO SANTA ROSA,Puebla,Puebla,
cosmos-1564,COSMOS,Puebla,Puebla,
covadonga-239,COVADONGA,Puebla,Puebla,
coyopotrero-229,COYOPOTRERO,Puebla,Puebla,
coyotepec-612,COYOTEPEC,Puebla,Puebla,
cristobal-colon-260,CRISTOBAL COLON,Puebla,Puebla,
crucero-de-san-juan-750,CRUCERO DE SAN JUAN,Puebla,Puebla,
cruz-del-sur-1012,CRUZ DEL SUR,Puebla,Puebla,
cruz-de-sur-539,CRUZ DE SUR,Puebla,Puebla,
cruztitlan-1257,CRUZTITLAN,Puebla,Puebla,
